time="2022-10-02T02:47:29+08:00" level=info msg="RESTful API listening at: 127.0.0.1:49907"
time="2022-10-02T02:47:29+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7890"
time="2022-10-02T02:47:30+08:00" level=info msg="[TCP] 127.0.0.1:49973 --> edge.microsoft.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:30+08:00" level=info msg="[TCP] 127.0.0.1:49956 --> info.pinyin.sogou.com:80 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:30+08:00" level=info msg="[TCP] 127.0.0.1:49985 --> raw.githubusercontent.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:30+08:00" level=info msg="[TCP] 127.0.0.1:49986 --> api.suda.cat:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:30+08:00" level=info msg="[TCP] 127.0.0.1:49987 --> api.github.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:30+08:00" level=info msg="[TCP] 127.0.0.1:49981 --> edge.microsoft.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:30+08:00" level=info msg="[TCP] 127.0.0.1:49992 --> api.github.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:30+08:00" level=info msg="[TCP] 127.0.0.1:49990 --> raw.githubusercontent.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:30+08:00" level=info msg="[TCP] 127.0.0.1:50007 --> api.suda.cat:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:30+08:00" level=info msg="[TCP] 127.0.0.1:49991 --> api.suda.cat:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:30+08:00" level=info msg="[TCP] 127.0.0.1:50013 --> api.suda.cat:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:33+08:00" level=info msg="[TCP] 127.0.0.1:50024 --> dashi.163.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:34+08:00" level=info msg="[TCP] 127.0.0.1:50052 --> 103.chtsite.com:8886 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:35+08:00" level=warning msg="[TCP] dial DIRECT to clients2.googleusercontent.com:443 error: dial tcp4 172.217.163.33:443: i/o timeout"
time="2022-10-02T02:47:35+08:00" level=warning msg="[TCP] dial DIRECT to clients2.googleusercontent.com:443 error: dial tcp4 172.217.163.33:443: i/o timeout"
time="2022-10-02T02:47:36+08:00" level=info msg="[TCP] 127.0.0.1:50070 --> functional.events.data.microsoft.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:40+08:00" level=warning msg="[TCP] dial DIRECT to clients2.googleusercontent.com:443 error: dial tcp4 172.217.163.33:443: i/o timeout"
time="2022-10-02T02:47:40+08:00" level=warning msg="[TCP] dial DIRECT to clients2.googleusercontent.com:443 error: dial tcp4 172.217.163.33:443: i/o timeout"
time="2022-10-02T02:47:40+08:00" level=info msg="[TCP] 127.0.0.1:50089 --> update.googleapis.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:45+08:00" level=warning msg="[TCP] dial DIRECT to clients2.googleusercontent.com:443 error: dial tcp4 172.217.163.33:443: i/o timeout"
time="2022-10-02T02:47:45+08:00" level=warning msg="[TCP] dial DIRECT to www.googleapis.com:443 error: dial tcp4 142.251.43.10:443: i/o timeout"
time="2022-10-02T02:47:46+08:00" level=warning msg="[TCP] dial DIRECT to www.googleapis.com:443 error: dial tcp4 172.217.160.74:443: i/o timeout"
time="2022-10-02T02:47:49+08:00" level=info msg="[TCP] 127.0.0.1:50123 --> evoke-windowsservices-tas.msedge.net:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:50+08:00" level=warning msg="[TCP] dial DIRECT to clients2.googleusercontent.com:443 error: dial tcp4 172.217.163.33:443: i/o timeout"
time="2022-10-02T02:47:50+08:00" level=info msg="[TCP] 127.0.0.1:50137 --> www.bing.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:50+08:00" level=warning msg="[TCP] dial DIRECT to www.googleapis.com:443 error: dial tcp4 142.251.43.10:443: i/o timeout"
time="2022-10-02T02:47:51+08:00" level=warning msg="[TCP] dial DIRECT to www.googleapis.com:443 error: dial tcp4 172.217.160.74:443: i/o timeout"
time="2022-10-02T02:47:53+08:00" level=info msg="[TCP] 127.0.0.1:50149 --> osfsr.lenovomm.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:55+08:00" level=warning msg="[TCP] dial DIRECT to www.googleapis.com:443 error: dial tcp4 172.217.160.106:443: i/o timeout"
time="2022-10-02T02:47:56+08:00" level=info msg="[TCP] 127.0.0.1:50167 --> ldc-fast.lenovo.com.cn:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:56+08:00" level=info msg="[TCP] 127.0.0.1:50168 --> ldc.lenovo.com.cn:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:56+08:00" level=info msg="[TCP] 127.0.0.1:50171 --> ldc-fast.lenovo.com.cn:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:56+08:00" level=warning msg="[TCP] dial DIRECT to www.googleapis.com:443 error: dial tcp4 172.217.160.106:443: i/o timeout"
time="2022-10-02T02:47:58+08:00" level=info msg="[TCP] 127.0.0.1:50188 --> go.microsoft.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:58+08:00" level=info msg="[TCP] 127.0.0.1:50190 --> edge.microsoft.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:58+08:00" level=info msg="[TCP] 127.0.0.1:50192 --> edge.microsoft.com:443 doesn't match any rule using DIRECT"
time="2022-10-02T02:47:58+08:00" level=info msg="Start initial compatible provider 故障转移"
time="2022-10-02T02:47:58+08:00" level=info msg="Start initial compatible provider 自动选择"
time="2022-10-02T02:47:58+08:00" level=info msg="Start initial compatible provider 蜂巢专线版"
time="2022-10-02T02:47:58+08:00" level=warning msg="[DNS] redir-host is deprecated, please use fake-ip instead"
time="2022-10-02T02:47:59+08:00" level=info msg="[TCP] 127.0.0.1:50314 --> report.url.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:47:59+08:00" level=info msg="[TCP] 127.0.0.1:50309 --> cn.bing.com:443 match DomainSuffix(bing.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:48:00+08:00" level=info msg="[TCP] 127.0.0.1:50323 --> report.url.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:00+08:00" level=info msg="[TCP] 127.0.0.1:50331 --> report.url.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:00+08:00" level=warning msg="[TCP] dial DIRECT to www.googleapis.com:443 error: dial tcp4 172.217.160.74:443: i/o timeout"
time="2022-10-02T02:48:01+08:00" level=warning msg="[TCP] dial DIRECT to www.googleapis.com:443 error: dial tcp4 142.251.43.10:443: i/o timeout"
time="2022-10-02T02:48:02+08:00" level=info msg="[TCP] 127.0.0.1:50352 --> stdl.qq.com:80 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:48:02+08:00" level=info msg="[TCP] 127.0.0.1:50357 --> appstore.browser.qq.com:80 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:48:02+08:00" level=info msg="[TCP] 127.0.0.1:50364 --> stdl.qq.com:443 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:48:02+08:00" level=info msg="[TCP] 127.0.0.1:50366 --> appstore.browser.qq.com:443 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:48:02+08:00" level=info msg="[TCP] 127.0.0.1:50368 --> open.u-tools.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:10+08:00" level=info msg="[TCP] 127.0.0.1:50392 --> v10.events.data.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:48:27+08:00" level=info msg="[TCP] 127.0.0.1:50486 --> pub.idqqimg.com:443 match GeoIP(CN) using DIRECT"
time="2022-10-02T02:48:32+08:00" level=info msg="[TCP] 127.0.0.1:50514 --> tpstelemetry.tencent.com:443 match DomainSuffix(tencent.com) using DIRECT"
time="2022-10-02T02:48:42+08:00" level=info msg="[TCP] 127.0.0.1:50549 --> assets.msn.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:42+08:00" level=info msg="[TCP] 127.0.0.1:50544 --> assets.msn.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:44+08:00" level=info msg="[TCP] 127.0.0.1:50554 --> login.live.com:443 match DomainSuffix(live.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:48:44+08:00" level=info msg="[TCP] 127.0.0.1:50562 --> windows.msn.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:44+08:00" level=info msg="[TCP] 127.0.0.1:50560 --> login.live.com:443 match DomainSuffix(live.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:48:44+08:00" level=info msg="[TCP] 127.0.0.1:50561 --> config.edge.skype.com:443 match DomainSuffix(skype.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:48:45+08:00" level=info msg="[TCP] 127.0.0.1:50577 --> assets.msn.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:45+08:00" level=info msg="[TCP] 127.0.0.1:50570 --> spoprod-a.akamaihd.net:443 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:48:45+08:00" level=info msg="[TCP] 127.0.0.1:50579 --> www.msn.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:46+08:00" level=info msg="[TCP] 127.0.0.1:50586 --> ping-edge.smartscreen.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:48:46+08:00" level=info msg="[TCP] 127.0.0.1:50591 --> assets.msn.com:443 match Match() using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:48:46+08:00" level=info msg="[TCP] 127.0.0.1:50598 --> login.live.com:443 match DomainSuffix(live.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:48:46+08:00" level=info msg="[TCP] 127.0.0.1:50601 --> smartscreen-prod.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:48:46+08:00" level=info msg="[TCP] 127.0.0.1:50600 --> smartscreen-prod.microsoft.com:443 match DomainSuffix(microsoft.com) using DIRECT"
time="2022-10-02T02:48:47+08:00" level=info msg="[TCP] 127.0.0.1:50609 --> www.msn.cn:443 match DomainSuffix(cn) using DIRECT"
time="2022-10-02T02:48:48+08:00" level=info msg="[TCP] 127.0.0.1:50612 --> login.live.com:443 match DomainSuffix(live.com) using 蜂巢专线版[🇮🇲负载均衡节点—主]"
time="2022-10-02T02:48:48+08:00" level=info msg="[TCP] 127.0.0.1:50614 --> substrate.office.com:443 match DomainSuffix(office.com) using DIRECT"
time="2022-10-02T02:48:49+08:00" level=info msg="[TCP] 127.0.0.1:50624 --> qbwup.imtt.qq.com:80 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:48:49+08:00" level=info msg="[TCP] 127.0.0.1:50636 --> qbwup.imtt.qq.com:80 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:48:50+08:00" level=info msg="[TCP] 127.0.0.1:50644 --> qbwup.imtt.qq.com:80 match DomainSuffix(qq.com) using DIRECT"
time="2022-10-02T02:48:50+08:00" level=info msg="[TCP] 127.0.0.1:50660 --> ts4.cn.mm.bing.net:443 match GeoIP(CN) using DIRECT"
time="2022-10-02T02:48:51+08:00" level=info msg="[TCP] 127.0.0.1:50672 --> ts4.cn.mm.bing.net:443 match GeoIP(CN) using DIRECT"
